n_1	c_02	t_01
29851	38049588597397494	1510842358411
9601	1266967339331758644	1511065743304
10651	6053770875315598396	1510797229352
23999.5	9802758055416208247	1510715085303
22351	17270031926744315982	1510802129121
67384	12935613440274759130	1510643054181
15571	11339025884054168433	1510801076247
25538.5	98255496716398460	1510817264104
34201	17034777342917252194	1510817900291
32851	4316419782436926168	1510707091249
15001	10732543505051601260	1511227372192
26851	17258148206463314868	1511258408403
194851	18386370277764773555	1510723331209
71729.5	2062252535976334962	1511059032108
17851	6425662922106931759	1510971611199
5986	4813659358284055201	1510819280366
23237.5	16791600902760442623	1510736990281
58501	2010601462009117357	1511262311362
73801	12185511967285296876	1510905816350
30046	2585744977761195385	1511155202394
16156	13121442030566522128	1510589419332
73501	17285137038072052003	1510824216316
13351	13986262197079335587	1510620002114
29863	16518691843247193043	1510589176351
4651	17358905819642754563	1511180738311
114451	7512264136762122279	1511156721257
464851	15032155469646822963	1510588824213
16777	4845269904636576544	1510973973120
11101	15048556608773247107	1510725754470
250602	11750010311976318865	1510827781146
16618	8853868363585399990	1510597637438
149851	12662254850592359646	1510733539391
217351	11965830433212900455	1510640656138
134101	13784113706193233151	1510831085478
8851	12329349397971614005	1510588913205
7801	13041483390682849102	1510975665339
14665	9395570700430037387	1510814035170
1.1232e+06	4008144405061843814	1511240708140
59311	8489689938365803804	1510752776344
34201	1588111273457174858	1510628464362
57601	229629062644385765	1510726965290
62851	4044538602053590367	1511241316438
278551	16937466853145537673	1510749311276
20273.5	379621603227260256	1511228057187
84961	3304129525369542430	1510708104234
8251	16890556828690403483	1510802153163
8851	9324327031432568822	1510812315454
8251	6904443750395473544	1510839581416
374851	6645190680671253974	1510809858213
16618	12982346634149758927	1510643988314
44732.5	15347123059314357831	1510723782107
8821	192796417645392812	1511172084446
47939.5	14735676689779713329	1510710933141
31351	2616199136896070200	1510650320301
23851	18213906181583744804	1510588804485
10625.5	14765567379277189756	1510995832353
254842	873917442638152151	1510899411459
20143	16867877260710141943	1510841523208
49351	11112673788930302848	1510813595161
71101	10762927773486254161	1511157168440
16351	14155046266122793032	1511164054433
83701	8364971337260350708	1510798926110
15091	17296192895996216593	1511270954128
123151	9267792417536572410	1511251498473
13336	18285035700412945282	1510589484489
14401	15749500798782512754	1510588935234
119851	5451475288161899408	1511156263322
6286	8860458722884084875	1510821324169
254851	15236897401928349832	1510827840275
13786	4789082463623546978	1510970416354
14851	7333229017078917605	1510877544220
15601	1759017305955253456	1510588892253
18961	10702721865367266579	1510909648480
11851	4423842567595872986	1510643257184
11446	2665371295114462002	1510719997341
14939.5	17522394790401074388	1510655564225
14851	15260724158812770308	1510589704426
24271	4688827166273041242	1510900004306
29761	8625233356919557593	1511170319329
32851	6116526893875530569	1510589210149
18226	5414737905968127316	1511165100308
13351	16091079918657945619	1510925591125
178501	18326392957834499172	1511243696106
77851	6702989856688587786	1510588808350
16051	18392161761402606934	1511258699327
83758	11041430119933095337	1510811583279
188851	7470250641928381911	1511231940391
16951	11745219723605975369	1510822338474
1.2288e+06	18082693850006912291	1510896747176
29851	10684139214261761208	1510715913454
41335	7975891937720071101	1510990747211
20851	17663906048706416028	1510727516119
91501	10859814661405957324	1511264082252
34351	491108372716207720	1510909493241
26701	3104975776865843278	1510588816280
23164	2519910204235930527	1511224925251
25351	11435840894837294607	1510630940376
17701	8046398217158258575	1510815499290
403651	13676265437834159203	1511232489109
11701	10340827943092270186	1511266366340
114751	4644202795887548937	1510913357155
19351	18023695992155071799	1510588880408
6826	13381027875010888044	1510974443281
11851	18027565686863125243	1510792411323
17011	4107981022540774402	1510750190102
65251	16828712882104582864	1511271739133
79351	6373086590170903669	1510589466236
14926	17990117504380551671	1510589713429
67801	12780210373814851524	1511003491127
15751	16167742236506036899	1511163421467
136051	10055974630609731983	1510838486479
14851	10647555997970757785	1510749421336
50401	16705421556912965553	1510733066280
56581	10557088588692754398	1510824802273
22351	2920118807293351162	1511171594375
26461	8578429273715614085	1511245077117
74101	6731319140469292238	1511269689454
33592	17633067809432412452	1510594547454
74851	15414908798476735575	1511156855279
43129	14954336691625672284	1511143961140
1.21916e+06	6821730808655038530	1510833248205
133201	16157444492190229425	1510763631392
28201	14282981795686325503	1511163743338
2.44785e+06	7930309999971258579	1510821505358
46102	5548935667503438369	1510897581143
13501	18119094984729765126	1510978935129
22202.5	3788816600234897378	1510746865298
17551	3360690896050431913	1511085953207
10351	4836589618279076615	1510654805320
44821	13177685851916882547	1510827803308
26851	3326940947668394668	1510815556235
20851	10096516481842009252	1511068643163
75901	717320866026097142	1510594613226
41629	863514494157063782	1511081382418
131101	1578624716924644382	1511258910175
61051	8485162975694161544	1510898437407
14926	11733206792104720901	1510993995239
25351	8510448520890076972	1510589829312
995368	7177827790134969657	1511246404133
599161	15011455953302005927	1511227797267
3736	4206936948470492591	1510811462467
21001	579462434058296965	1510981797122
27751	9637829158823972611	1510809747291
53701	11032353570267896151	1510597571257
26701	11383420878322048644	1510634651475
37351	16183057421666248902	1511244124354
59851	18197765281790053130	1510801120453
57451	7609151024681856081	1511260471226
20849.5	15404026691276927211	1510590297319
40199.5	1306851755085942508	1511161992243
59851	14826426797933637931	1510969972445
100351	12836275565424477478	1511166263425
26851	11686587475399274687	1510826220145
25180	13169846321356404980	1511140790293
59401	316088914870686504	1511242011472
8851	2296316869938832526	1510924639189
81001	4861468257371541507	1510750994110
94351	10956033703365744710	1510889975280
26101	17542405384902550184	1510727829475
20851	13380843108512520912	1511242653119
98851	6421858166804603955	1510986973489
74851	1177500984313898207	1511234578221
109351	1900528564260554127	1510706205183
26851	17405709902846822902	1511165727403
105751	2084128703849090984	1511252928149
84151	910133810862671134	1511250625437
32851	7904463502224291091	1511247373107
191101	3463385157744324986	1511258743289
44551	6147627728296596628	1511074181260
65249.5	2123485245055691194	1510588913141
55201	12829035334264742625	1510589719244
18481	11907854426615520298	1510801241415
14941	4623449168855417425	1510971095164
8251	8909393635563067352	1510588975223
14153.5	8986110679605002552	1510817665183
26701	9081384504649080451	1510589146327
23701	3207737017360434718	1510727170479
28351	8295012100558099164	1510639111146
17971	693416881587538951	1510812099454
7336	14122842064487722320	1510838188486
554851	16236713195332181368	1511139779468
8701	14718476511675322057	1510589676409
14918.5	8838563856871058944	1510830437208
83701	7152952144733825943	1510911368123
23851	2797030268493001080	1510977300391
9113.5	11450542528950344796	1510588969190
9046	4650169914206536143	1510794456391
10351	10756616329163439182	1510799466402
5821	1506654442298349919	1510588898371
40573	15913961654468151224	1510905978377
17401	13995942114720357948	1510715230422
412051	11081592027686515212	1510815565157
242026	16423923907232403602	1511170142286
53999.5	838234152566649335	1510593081294
96451	17570253789197901350	1510589500248
57748	6233495367664125445	1511081485336
69751	4480532158512064597	1510661496241
780601	7116968371478423177	1511137844256
6886	13413532559829508878	1510712640313
16486	12228927848037571937	1510975544189
14771.5	17397220500425309305	1511225981298
4471	4959292634958356953	1510904827245
15751	13720842350588575550	1510971263115
20101	269247127414092438	1511185478151
12886	18155422937176976688	1510640643156
11176	3780895878524964207	1510823301377
98101	4000018692786729493	1510838865379
23701	3380500030208105871	1510588810145
16351	3511133459235453290	1510911730424
26101	8303832073525899134	1510802104131
7981	17451697860017649311	1510835408319
42151	14937251112123283890	1510828015190
26851	8138739628491752081	1510588818228
13351	1595520465775118204	1510742016429
15646	1797273789381654941	1510589606214
59851	11031498394252328754	1511078354129
70351	2576147908148524792	1510827053129
40861	8241566818035055710	1511146475294
29602	13681110015312751637	1510734640220
14176	233988326552893657	1511091641189
61351	6229037101824158856	1511155169359
17251	17308025419519551611	1510708410152
77251	549078165623767816	1511090736247
23851	10515323372589203708	1510595592155
18226	6452715989988584104	1510803061347
39751	14077945684492964131	1510900349184
54751	17523343764742776083	1510589032392
10351	922146742363937023	1511145482277
404851	15956882157122728814	1511235853341
116851	18118910218231463274	1511246038393
23851	7203878246306823110	1510907039367
55351	7806324862243432055	1510593479150
46201	15437964510677509296	1510838483148
315792	14990141974813341931	1510635801383
32851	16832193970638785496	1510594528380
6541	8328131972709035740	1511265209383
62911	16144092869022957844	1511274852448
25178.5	4297565575153053381	1511270978269
20251	1109680249473542650	1510743308430
1.21062e+06	11973082423193235516	1510590360170
14071	8209956271682533663	1510906687479
74851	9491963208439039381	1510800547437
24271	15364570235895409105	1510726792261
34651	9006091999558470480	1510907896218
70051	5720020743545896625	1510708828376
40351	1097510776935236260	1511158779163
163726	12207639219156322502	1510588800426
6053.5	15904424458410595756	1510706663194
28201	2576927448012729523	1510589554358
29701	6866608676323784282	1511079656156
15946	14264135871863422047	1510899361284
298351	16135224242966593384	1510715777227
19975	543131190035785233	1510724102388
13201	17728639272478297761	1510884176219
126001	17964127911160269009	1510589668283
32401	10799171661539023636	1510799611423
109951	683275927159083983	1510818159304
117328	10389221018229393036	1510715141363
749851	11635476607327707012	1511139989210
9136	7758663971377615727	1511146372334
30001	15970014591882261377	1510824399266
3871	398635602438759445	1511242133479
9568	12298442923287795479	1510841161172
20401	9901795549120869870	1510973225102
20956	9956993581129850850	1510809842159
53881	9065805445676690452	1511084967453
15601	17084236742316375608	1510589882387
14851	15832251444775415082	1510588898118
9901	12633566513970586405	1510756313410
15661	9953653493412684801	1510627592114
449851	9943005970354535866	1510821544189
11986	10656202647062433541	1511162169400
45472	2990627397978142306	1510712239239
28201	630188620896226621	1510641851138
12601	12534979067753442887	1510588819306
10411	216918454108199473	1511147645126
22426	5193570702780091427	1510730794202
89851	9398170275532689558	1510588959242
52351	18351320873165851026	1510882327399
72601	13082182837589731261	1511138469462
19351	10072394445379203273	1510837872478
9751	8852581488070975974	1510994902193
626506	9188893984477061083	1511248640377
8251	14464919001482983167	1510814641376
134851	17357114708800862546	1511256647100
23221	17350403921315062019	1510730646171
15601	11958443681211818993	1511175458309
81001	9667731215158376194	1511065145484
14851	5362617156270993738	1510798530222
15698.5	15359985940728679727	1510999121208
16051	12256717932030051903	1510888220328
16186	16577054701298798870	1510807651177
80401	4383402447999130750	1511090605197
254851	13009872844330258830	1510820322188
498402	3648458483365838367	1510658772358
19690	6085663680030946985	1511243828435
9751	15529442503125138639	1510881388151
12601	1283387154101222012	1511064373433
38909.5	8449215811810629020	1511149036241
5971	2135575819391371206	1510886448462
8236	5326466713562981328	1510589180235
130351	3266699748581586635	1510829222118
8851	9773549407958027954	1510922381372
17701	17962726437043894955	1511272239376
16618	10087985736491323564	1510927176157
8978.5	12579194383429186300	1510588909366
9901	17572584534996802990	1511260939403
9436	11179045216986209369	1511080120439
13351	10445890607454973440	1510588959119
39856	11309102262012136925	1510994156312
55312	7722580099721446640	1511147466411
9856	13173545135407528298	1510978336285
134851	8319825417287497056	1510593472193
26701	11876343092894057328	1511002713476
28351	16144263582165354214	1510590360171
29851	7355667000887534191	1510726266372
43129	3419161972646690758	1510812789335
16618	15508644912121129164	1510589146168
20851	8032201210120613596	1510591193366
16618	7066685652027449821	1510588863459
58501	2015561011537719861	1510811407277
27301	13844750938773946624	1510641196382
29851	4611337978469385615	1510707280146
25201	1214932844937611448	1510655467162
14851	11763412136891298783	1511140574471
13201	17328609321217272085	1510902739192
8978.5	7517426263571101877	1510815635286
50401	11676018458560108392	1511260062310
8551	8895717523745324617	1510972670136
19351	14105043951012195357	1510589154428
57151	750722523220575151	1510731005283
194851	7914847752565054502	1511143394272
179701	117101420539299296	1511142555235
40193.5	8731051549719108361	1511140062343
19351	5737757248193451652	1510795176158
5701	8855611732120876880	1510986478471
16561	12334844058010655541	1510988641220
374701	3843471493304510493	1511228465249
16618	4294954699601247766	1511272979420
6503.5	9611662384872235927	1510817131418
130801	4946828770199892742	1511263097462
37351	14345899837673325017	1510589032128
599851	1115317006357350432	1510589057213
52351	3318627862358511457	1510974401343
79651	16959413309252582210	1510590342115
130201	15070088201508787600	1511187852463
2.4432e+06	6533326423967571904	1510819180226
7568.5	6492448325264372191	1510981687351
7546	4880444761441473477	1510881281319
1.37105e+06	15967898391295654268	1510729921280
15133	12106275368845042906	1510991254107
8251	5867796690086855986	1511183275107
14851	10905026011520612052	1510589440351
18298	10279968524435820861	1511137181332
59851	11846980068833134796	1510597616348
35249.5	5219737126580462900	1510713559119
8851	3336114001389968602	1511183811426
37951	4887208210164018651	1510589239144
3301	1655903950350670438	1511176890331
65101	5019498543077356571	1511153221463
14401	9487205939547790070	1511090054261
23701	5049115028879520369	1510801767302
14176	10039997604068094011	1510745890423
57451	8760434925621971829	1511267203397
15778	6222050907763344162	1510827149155
59311	9782563747700425186	1510741947483
13201	13221057869146803640	1510728156165
23851	9155774112326120866	1510649769454
81649	13686803216421434284	1510743134242
16141	15362058736164598292	1510723005487
55801	13994612142704163482	1510732252382
12113.5	6233680134162439775	1510819425393
8251	15482923284820499921	1510824656303
25201	2566714287439886003	1511156071283
11341	104965647566006281	1510816064246
29374	2018281676128426229	1511141028106
64351	609211264915251908	1510705534434
254851	2910255403407366956	1510626141373
10351	14274471402177807292	1510721537359
152251	18062750234306139161	1510823360264
35929	12885929377627618655	1510790935342
52381	17874294074616960651	1510735780154
15781	7501899284517067817	1510798447450
214951	11659598643790512424	1511260515203
20851	17757723730125788060	1510588921388
50851	6983495582337384711	1511140645308
59851	13586829355551632935	1510904052223
17851	4145797684735983238	1510813612324
15421	4501450200200416760	1510998712354
15001	4791681172511859413	1510814905455
179851	1823440213182009554	1510589711475
17701	2234278696030196500	1510793543125
15361	9234529352071506680	1510814937267
209851	3989298481238955462	1510904468408
313501	6748108606984851189	1510725531210
6376	10717062065719029428	1511073500111
16351	2927877757886766908	1510738438188
19807	394850431046449728	1510813739276
35851	3161885362949181841	1511271108466
81301	10707912213440189678	1510727546332
35851	10606330637611665128	1510707080451
22501	3557975246692031708	1510908230146
38101	12343681730490147125	1510797626413
29851	12653760821686527305	1510726256265
331351	1573011885083287446	1510593739117
100801	3405600131335102405	1510898600169
7771	16013337233571149358	1510589131450
43129	5198552175086541970	1511145321453
16201	5913656280416338866	1510588907231
89851	7266443613921500505	1510816823319
103651	5640913170511771408	1511171832405
3736	7760853437574723563	1510921516474
86851	10367632008202619526	1511140090162
23851	16095176485381176070	1510646430365
29374	16170896934133148173	1511143830365
38761	13647688774208064759	1511158121451
44401	11830197540048751247	1511166560361
9601	1242062581110901629	1510640240489
20851	15619463111609006108	1510607359463
23836	7385595394637480952	1511079013225
73351	9074871254155200079	1511272226242
9001	10119023515463420219	1510880157235
87451	488218746967187640	1511163020429
40201	13112567106024219888	1510997193197
10351	957321599168760366	1510989874153
124225	8813598237287139540	1511139460149
13201	13829519697670022847	1510593039387
8401	4548588338378022321	1510733041421
25351	7259237163662576973	1511077587114
34681	3021526478148004198	1511143830151
92851	8231664779794509614	1510747056441
11851	11364361080967245735	1511069601466
25051	3092452597814765263	1510925176198
534858	6228752236924992583	1511268520364
11851	3841244322854795547	1511264078419
22411	15482638419921284370	1510909597216
31951	13485137825905397591	1510590467434
73501	6086768309640034244	1511161693380
9736	13723069521038168048	1511161355357
19351	12090417743459611534	1510728699353
100501	11404566970992361157	1511145832387
9901	11203684628741625537	1510826170450
65251	9876565142334141285	1510589511124
5986	8930636622684676203	1510641630450
6526	1208636175403279120	1510808913325
20701	17638234542023561091	1511229764390
62189.5	11028602653801217780	1511243579198
18427	13105016363714639485	1510596142197
11851	11939429682000221086	1511162388177
37501	6554793162093628161	1510711949171
71851	13687894664233474133	1511224341110
31622.5	8194771742333284881	1510752658320
28501	8659889533292870248	1510799527307
23116	18382420445191700453	1511250326441
20983	12267873888354886430	1511185254205
78451	16033563457786137118	1510589132149
318901	14319413321893718177	1510597352278
77851	1971956999756269326	1510590336281
64351	16668036429879301010	1511091812258
8078.5	9979388592751259388	1511257450293
14101	7760668671076273992	1511233477333
6886	1480449033991841993	1510817197209
14939.5	15224267282997461439	1511088151448
18001	8878471892304420842	1510816003432
38390.5	14730477023055404435	1510650681474
7486	15537333248742984663	1510588882377
18001	1704658459249095212	1510592511336
30001	11631628317746025332	1510589032205
11851	1372785532131273124	1510923553445
89851	7256288572183930815	1510814293382
13423	8690509698486764141	1511164608460
131851	1615714773490894056	1510714599130
148501	17221281780563639742	1510902992342
3871	5297601546361152366	1510588843485
194851	611960050428721812	1510808434481
44851	7298585421408191730	1511086450356
11851	5284453218729376588	1510653034386
89851	3649261534910262050	1511156316368
27863.5	14837258265608241359	1510730390241
149101	13752353684309963380	1510743086251
470443	17573238045534233989	1511248800227
31051	8874457655943703844	1511246991252
103351	12164245161752616170	1511155087259
65701	17723848684107972185	1510902935223
85201	16607830521760303760	1511161299381
11926	17707435807069690930	1510986242365
11986	15561854027274284037	1510641382273
70351	6187701952426024106	1510595585170
38761	16637365377046836562	1510660612156
104701	8559367816872894583	1511254540219
67351	6687360861323883189	1510589355364
8851	5561096155036689774	1511062725390
35266	6516799669318281480	1510661912329
54668.5	8635017274257659052	1511181725322
18451	1140634558414139477	1510836706119
15443.5	9306704676953135350	1510716595313
8071	5680857352748222601	1510614299388
16201	17890748766315079192	1510833067144
46160.5	15830761454773741773	1510592515206
15301	3933233289629311665	1510829596343
46351	13965014728490369456	1510974881427
2.5	8873804145406125326	1511262038176
179851	10128928005991146906	1510589739374
14851	9878360988322189900	1511082550279
10801	7994569314423776532	1510588959350
29851	8189078191073082410	1510985817153
28201	6180543289041307292	1510607333323
19351	9846219180835362751	1510829847424
24842.5	9703379626712729255	1510808002422
13351	5249814524130450208	1510973319465
20401	12386106407054728428	1510881988185
554851	3088311881305398662	1511154630337
22471	2923014547744298756	1510985443228
49801	11784055250843438468	1510641420345
14701	15136873604666351980	1511250969461
39751	129836393483963778	1510589708297
127351	8151709568093811540	1510727126398
11851	1212598175787106017	1510646014422
17851	16149049711565575875	1511136626368
199351	2524885559104583081	1510920230243
16201	12627872962710558207	1510987230151
17251	5989881421720139320	1510980839243
114901	13373458335700184403	1511183344143
80851	7668546919880947069	1510716655381
9751	7048640794774170819	1510589751253
14851	16200066947236667746	1510797251342
27526	11041544270101099755	1510739299382
58501	4068499029128398080	1510710624151
14851	1359184351743698986	1510589768387
599851	10118370004925714809	1510897372099
40351	15826269057881693880	1510634418183
9568	2579306099434948391	1510625556324
4636	4890147772305366696	1511185176354
16201	18341067814254471423	1510752316245
14761	16482178565039265281	1511165882291
20851	9709072827821437423	1510812810214
7351	1460449015898075165	1510903199477
74851	5237720024854250617	1510716855125
850366	9182966080477626684	1510589020326
83701	3663742638238101857	1510627208196
25201	3649299239162889216	1511244486278
23851	4885969351543315671	1511090799412
33451	4769082445529786138	1511141483435
104851	10000035468326635956	1510589137407
434851	5387605977297563219	1510589629445
11101	12389345791079105460	1510590321406
12751	13071867659117466563	1510900581393
158701	16882368655770522430	1511163419354
17851	2160378282516821705	1510594547339
13201	17609321917190413074	1511248794271
54901	5286418955977566142	1510593027107
19801	14023904384508646922	1511252962391
62851	411118165337556803	1510900217202
9751	4579595024321520716	1510879413329
93601	5397690030718219781	1510914446461
14999.5	14512255541278506417	1511085400357
34351	4972694459873371695	1511184403359
8851	269085518026104328	1510589104353
17956	16583953125350946100	1510595592196
14941	9093018093766179083	1510794101256
43351	15100472469943245101	1511155525140
16618	7915032519063491698	1510830562458
29851	8106590817797650525	1510627547268
63451	2377157608548857202	1511252562396
71851	11772154444527555137	1510796356214
14851	2582620649121471610	1510589440461
67351	16765659697273528966	1510725148298
19351	9672521803528684582	1510992741201
14971	13076658247487794431	1510885376274
59551	17807691104419986459	1511079421135
8941	11322179598276819078	1510590313299
12901	11893115582035986465	1510588987453
17716	5052059444474772097	1510705395235
29851	16685790579382855488	1511248185244
71401	10053380446167699252	1510826784158
250008	16629725387773227499	1511150177369
56549.5	8183152206572229578	1511159259160
23399.5	14497899535586591874	1510797158452
29851	10845572080694002954	1510607359233
28051	11104891590864913428	1510629749187
16618	15925055817739508514	1510838406233
7651	12763722276252905597	1510807276419
44851	6442082736876485622	1510969744480
12899.5	11391165146077446794	1510832083124
26587	3168147594920866944	1511064685436
11851	16421497798179096826	1510901924451
4786	6560765278178307547	1510743190382
12983.5	4326283186322917174	1510972887306
